tx_x_pos, tx_y_pos, tx_z_pos, tx_freq, rx_x_pos, rx_y_pos, rx_z_pos, distance, path_loss_dB
0,5,-6.72981,2.3e+09,-14.5139,1.5,-85.7362,80.4047,-77.782
0,5,-7.48825,2.3e+09,-14.5139,1.5,-85.7362,79.6595,-77.7011
0,5,-8.24203,2.3e+09,-14.5139,1.5,-85.7362,78.9192,-77.62
0,5,-8.21754,2.3e+09,-14.5139,1.5,-85.7362,78.9433,-77.6226
0,5,-7.43595,2.3e+09,-14.5139,1.5,-85.7362,79.7109,-77.7067
0,5,-6.77486,2.3e+09,-14.5139,1.5,-85.7362,80.3604,-77.7772
0,5,-6.00204,2.3e+09,-14.5139,1.5,-85.7362,81.1199,-77.8589
0,5,-5.28877,2.3e+09,-14.5139,1.5,-85.7362,81.8211,-77.9336
0,5,-4.59282,2.3e+09,-14.5139,1.5,-85.7362,82.5054,-78.006
0,5,-3.81683,2.3e+09,-14.5139,1.5,-85.7362,83.2687,-78.086
0,5,-3.07835,2.3e+09,-14.5139,1.5,-85.7362,83.9954,-78.1614
0,5,-2.30312,2.3e+09,-14.5139,1.5,-85.7362,84.7584,-78.24
0,5,-1.54724,2.3e+09,-14.5139,1.5,-85.7362,85.5025,-78.3159
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
0,5,-0.834694,2.3e+09,-14.5139,1.5,-85.7362,86.2042,-78.3869
